district_id,pop,nmu500,nmu2k,nmu10k,nmuinf,ncit,rurba,avgsal,urat95,urat96,ent_ppt,ncri95,ncri96,city,state,zipcode
57,161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,Broomfield,Colorado,80020
23,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,Denver,Colorado,80205
49,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123,Colorado Springs,Colorado,80917
37,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,Fort Collins,Colorado,80521
36,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,Colorado Springs,Colorado,80918
48,78955,50,24,8,1,9,59,9060,1.78,2.44,124,1655,1717,Parker,Colorado,80138
14,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,Allenspark,Colorado,80504
55,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,Commerce City,Colorado,80022
25,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218,Broomfield,Colorado,80021
32,105058,32,19,7,2,10,81,9272,2.80,3.22,118,4340,4505,Denver,Colorado,80260
46,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,Denver,Colorado,80231
52,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,Fort Collins,Colorado,80526
30,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,Thornton,Colorado,80241
64,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,Denver,Colorado,80229
71,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,Denver,Colorado,80233
51,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,Aurora,Colorado,80014
33,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,Littleton,Colorado,80126
